role,company,year,person
Director,MEGA HEFA EMISSION TECHNOLOGIES PVT LTD,2018,Vijay Jeevan Sujan
Director,SUJAN CONTITECH AVS PVT LTD,2018,JAIPRAKASH KHANCHAND VASDANI
Designated Partner,POLYRUB RUBBERTECH LLP,2018,BRIJESH ASHOK SUJAN
Designated Partner,KRTYAVAT PRODUCTIONS LLP,2018,MANISHA ASHOK SUJAN
Director,ARECA EMBEDDED SYSTEMS PVT LTD,2018,RASHMI JAIN
Director,MEGA HEFA EMISSION TECHNOLOGIES PVT LTD,2018,ZHIQIANG SHAO
Designated Partner,ALFA UNIVERSAL VENTURES LLP,2017,Vijay Jeevan Sujan
Director,MEGA HEFA EMISSION TECHNOLOGIES PVT LTD,2017,Neelkumar Rewachand Sujan
Director,MEGA HEFA EMISSION TECHNOLOGIES PVT LTD,2017,Narendra Harish Sujan
Designated Partner,POLYRUB RUBBERTECH LLP,2017,SHARAN NEEL SUJAN
Designated Partner,POLYRUB RUBBERTECH LLP,2017,RISHI NEEL SUJAN
Individual Partner,HASHTAG FILM STUDIOS LIMITED LIABILITY PARTNERSHIP,2017,PADMA HARISH SUJAN
Individual Partner,ALFA UNIVERSAL VENTURES LLP,2017,SATVINDARKAUR VIJAY SUJAN
Director,GREENTEC CHEMICALS PVT LTD,2016,Vijay Jeevan Sujan
Director,GREENTEC CHEMICALS PVT LTD,2016,Neelkumar Rewachand Sujan
Designated Partner,FLASH CREATIVE LABS LLP,2016,BRIJESH ASHOK SUJAN
Director,MILLENNIAL SOFTWARE PVT LTD,2016,BRIJESH ASHOK SUJAN
Director,SPICY SOUL PRODUCTIONS PVT LTD,2016,MANISHA ASHOK SUJAN
Director,GREENTEC CHEMICALS PVT LTD,2016,PARAS BHOJWANI WIJAYA
Director,GREENTEC CHEMICALS PVT LTD,2016,DARYANTO WIJAYA
Designated Partner,PHOENIX GLOBAL POLYMERS LLP,2016,PUSHAPRAJ SINGHVI
Director,RAJ PACKAGING INDUSTRIES LIMITED,2016,PUSHAPRAJ SINGHVI
Director,WIM PLAST MOLDETIPO PVT LTD,2016,PUSHAPRAJ SINGHVI
Director,POLYRUB PLASTICS PVT LTD,2015,Vijay Jeevan Sujan
Designated Partner,POLYRUB RUBBERTECH LLP,2015,Vijay Jeevan Sujan
Director,POLYRUB PLASTICS PVT LTD,2015,JAIPRAKASH KHANCHAND VASDANI
Director,POLYRUB COOPER STANDARD FTS PVT LTD,2015,JAIPRAKASH KHANCHAND VASDANI
Designated Partner,RUBBERTECH AUTOMOTIVES LLP,2015,Neelkumar Rewachand Sujan
Director,POLYRUB EXTRUSIONS (INDIA) PVT LTD,2015,Neelkumar Rewachand Sujan
Director,POLYRUB COOPER STANDARD FTS PVT LTD,2015,Neelkumar Rewachand Sujan
Designated Partner,POLYRUB RUBBERTECH LLP,2015,Neelkumar Rewachand Sujan
Director,POLYRUB PLASTICS PVT LTD,2015,Harish Rewachand Sujan
Designated Partner,POLYRUB RUBBERTECH LLP,2015,Harish Rewachand Sujan
Director,MEGA RUBBER TECHNOLOGIES PVT LTD,2015,SHEETAL NEEL SUJAN
Director,MCML TRACK & STRUCTURES PVT LTD,2015,GUTTA VENKATA KUMARI
Director,ARECA EMBEDDED SYSTEMS PVT LTD,2015,GUTTA VENKATA KUMARI
Director,AUTOMATION AND TELECOMMUNICATION SYSTEMS (INDIA)PVT LTD,2015,GUTTA VENKATA KUMARI
Director,POLYRUB PLASTICS PVT LTD,2014,Neelkumar Rewachand Sujan
Director,MAGNUM ELASTOMERS PVT LTD,2014,PADMA HARISH SUJAN
Director,MAGNUM ELASTOMERS PVT LTD,2014,MANISHA ASHOK SUJAN
Director,WIM PLAST LIMITED,2014,PUSHAPRAJ SINGHVI
Director,NGI VENTURES PVT LTD,2014,RUCHI GARG
Director,NGI VENTURES PVT LTD,2014,DEEPAK MITTAL
Director,SINJAN CONSULTANCY PVT LTD,2012,RASHMI JAIN
Director,SCONTEC INDIA PVT LTD,2011,PRASHANT KOTHARI
Designated Partner,SIMHADH CONSULTING SERVICES LLP,2010,Vijay Jeevan Sujan
Designated Partner,SIMHADH CONSULTING SERVICES LLP,2010,SATVINDARKAUR VIJAY SUJAN
Designated Partner,ANHADH REALTORS LLP,2009,Vijay Jeevan Sujan
Designated Partner,ANHADH REALTORS LLP,2009,SATVINDARKAUR VIJAY SUJAN
Director,SUJAN CONTITECH AVS PVT LTD,2008,Neelkumar Rewachand Sujan
Director,SUJAN REALTORS PVT LTD,2007,Neelkumar Rewachand Sujan
Director,SUJAN REALTORS PVT LTD,2007,GHANSHAM REWACHAND SUJAN
Additional Director,SHREE RATNAKAR PROJECTS PVT LTD,2007,RASHMI JAIN
Director,PLASTIBLENDS INDIA LIMITED,2006,PUSHAPRAJ SINGHVI
Director,POLYRUB EXTRUSIONS (INDIA) PVT LTD,2005,JAIPRAKASH KHANCHAND VASDANI
Director,POLYRUB EXTRUSIONS (INDIA) PVT LTD,2005,PADMA HARISH SUJAN
Director,POLYRUB EXTRUSIONS (INDIA) PVT LTD,2005,SHEETAL NEEL SUJAN
Director,POLYRUB EXTRUSIONS (INDIA) PVT LTD,2005,SATVINDARKAUR VIJAY SUJAN
Director,MAGNUM ELASTOMERS PVT LTD,2004,Vijay Jeevan Sujan
Director,MAGNUM ELASTOMERS PVT LTD,2004,Neelkumar Rewachand Sujan
Director,MEGA RUBBER TECHNOLOGIES PVT LTD,1997,Vijay Jeevan Sujan
Director,MEGA RUBBER TECHNOLOGIES PVT LTD,1997,JAIPRAKASH KHANCHAND VASDANI
Director,MEGA RUBBER TECHNOLOGIES PVT LTD,1997,Harish Rewachand Sujan
Managing Director,MEGA RUBBER TECHNOLOGIES PVT LTD,1996,Neelkumar Rewachand Sujan
Director,MAGNUM ELASTOMERS PVT LTD,1994,JAIPRAKASH KHANCHAND VASDANI
Director,MAGNUM ELASTOMERS PVT LTD,1994,Harish Rewachand Sujan
